Bet,Team,Total,ExactBet,Date,Market,Other,LineTaken,Edge,BetType,RichStake,Grade,ExpProfit,Profit
429,San ,False,San Francisco +12.5 L,2026-02-18,-139,139,-112,10.1,spread,847.7,L,86,-847
430,St. ,False,St. John's +1.5 L,2026-02-18,102,-102,118,7.9,spread,643.3,W,51,759
430,St. ,False,St. John's ml L,2026-02-18,121,-121,143,10.0,moneyline,869.4,W,87,1243
431,Tennessee ,False,Tennessee -17.5 L,2026-02-18,150,-150,133,-6.8,spread,1225.0,W,-83,1629
431,Tennessee ,False,Tennessee -10.5 L,2026-02-18,103,-103,125,10.8,spread,1580.6,W,171,1975
432,Virginia ,False,Virginia -36.5 L,2026-02-18,-101,101,120,10.5,spread,632.1,L,66,-632
433,Wake ,False,Wake Forest -11.5 L,2026-02-18,125,-160,145,2.7,spread,1570.8,L,42,-1570
434,Appalachian ,False,Appalachian State -11.5 L,2026-02-19,-146,146,-118,9.6,spread,881.3,L,85,-881
434,Appalachian ,False,Appalachian State -8.5 L,2026-02-19,-147,147,-111,13.1,spread,831.6,L,109,-831
434,Appalachian ,False,Appalachian State -5.5 L,2026-02-19,-234,234,-177,9.6,spread,1298.5,L,125,-1298
434,Appalachian ,False,Appalachian State -7.5 L,2026-02-19,-156,156,-127,8.9,spread,949.2,L,84,-949
434,Appalachian ,False,Appalachian State ml L,2026-02-19,188,-188,225,12.8,moneyline,548.1,L,70,-548
435,Arkansas ,False,Arkansas State ml L,2026-02-19,-125,125,-103,9.5,moneyline,1142.4,W,109,1109
435,Arkansas ,False,Arkansas Pine Bluff ml L,2026-02-19,-106,106,114,10.1,moneyline,1101.8,L,111,-1101
436,Atlanta ,False,Atlanta Hawks ml L,2026-02-19,-109,109,107,8.0,moneyline,2310.7,W,185,2472
436,Atlanta ,False,Atlanta Hawks ml L,2026-02-19,-112,112,104,7.8,moneyline,2268.0,W,177,2358
437,Atlanta ,True,Atlanta Hawks o231.5 L,2026-02-19,182,-182,205,8.2,total,784.7,L,64,-784
