Unique Bet Rule 1,Team,Total?,Unnamed: 3,Bet,Book,Date,Market,Other    ,LineTaken   ,Edge  ,Ignore,TrueL,Decim,Betsize    ,Sport,Unnamed: 16,Opp,Total Stake,Rich Stake,Other Stake,Grade,CloseLine    ,CloseOther    ,Ignore.1,CloseEdge,Trueline,Net,ExpWinPlace,Date.1,RunExpWinPlace,RunNet,Bankroll,Kelly,Time,PIN M,PIN M$,PIN O,PIN O$,BM M,BM O,PM M,PM M$,PM O,PM O$,ST M,ST M$,ST O,ST O$,KAL M,KAL M$,KAL O,KAL O$,FD M,FD O,BOL M,BOL O,BOV M,BOV O,NV M,NV M$,NV O,NV O$,PX M,PX M$,PX O,PX O$,CZR M,CZR O,BM M$,BM O$,DK M,DK O,4C M,4C M$,4C O,4C O$
17,D ,1,2024-11,D wade rebounds o4.5,BRmb,2024-11-02,110,-140,150,0.12359550561797772,0.04943820224719109,122.49999999999999,2.5,4370.568677403257,NBA,total,,,36.28,36.28,L,,,,,,-36.28,4.484044943820232,2024-11-02,55852.03110737991,6049.341533333344,106085.62153333344,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jazz ,0,2024-11,Jazz 1h ml,BRmb,2024-11-02,246,-289,310,0.14828574308465423,0.036167254410891275,257.0539845758355,4.1,2486.2701391227233,NBA,moneyline,,,175.56,175.56,L,,,,,,-175.56,26.033045055941898,2024-11-02,57506.21571164371,3778.296533333345,103953.85653333343,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jazz ,0,2024-11,Jazz 1h ml,PEmb,2024-11-02,246,-289,310,0.14828574308465423,0.036167254410891275,257.0539845758355,4.1,2482.0712608878944,NBA,moneyline,,,122.89,122.89,L,,,,,,-122.89,18.22283496767316,2024-11-02,57524.43854661138,3655.406533333345,103778.29653333343,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jazz ,0,2024-11,Jazz 1h ml,FWmb,2024-11-02,246,-289,310,0.14828574308465423,0.036167254410891275,257.0539845758355,4.1,2479.1320939576244,NBA,moneyline,,,175.56,175.56,L,,,,,,-175.56,26.033045055941898,2024-11-02,57550.47159166732,3479.846533333345,103655.40653333343,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Jazz ,1,2024-11,Jazz team o105.5 ,BRmb,2024-11-02,-110,-100,110,0.07441860465116289,0.03543743078626804,-104.76190476190477,2.1,3526.4512992248137,NBA,total,,,296.86,296.86,L,,,,,,-296.86,22.091906976744216,2024-11-02,57480.18266658777,3953.856533333345,104250.71653333343,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,K ,1,2024-11,K george pts u17.5,BRmb,2024-11-02,-140,110,-105,0.0749063670411985,0.03836667580158948,-122.50000000000001,1.9523809523809523,4191.6456782771575,NBA,total,,,113.385,113.385,W,,,,,,107.99,8.493258426966293,2024-11-02,55784.89335050112,6695.551533333344,106587.56153333343,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,T ,1,2024-11,T maxey points u29.5,BRmb,2024-11-02,-125,-105,110,0.09263959390862964,0.04411409233744268,-108.4656084656085,2.1,4465.6217881479915,NBA,total,,,98.95,98.95,W,,,,,,108.85,9.166687817258902,2024-11-02,55861.19779519717,6158.1915333333445,106049.34153333344,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,T ,1,2024-11,T maxey points u29.5,FWmb,2024-11-02,-125,-105,110,0.09263959390862964,0.04411409233744268,-108.4656084656085,2.1,4470.205342601153,NBA,total,,,98.95,98.95,W,,,,,,108.85,9.166687817258902,2024-11-02,55870.36448301443,6267.041533333345,106158.19153333345,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,T ,1,2024-11,T maxey points u29.5,PEmb,2024-11-02,-125,-105,110,0.09263959390862964,0.04411409233744268,-108.4656084656085,2.1,4474.788897054314,NBA,total,,,196.915,196.915,W,,,,,,216.61,18.242125634517805,2024-11-02,55888.60660864895,6483.651533333345,106267.04153333345,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Wade ,1,2024-11,Wade rebounds o4.5,BRmb,2024-11-02,110,-140,148,0.11460674157303387,0.046212395795578176,122.49999999999999,2.48,4101.534704828434,NBA,total,,,36.77,36.77,L,,,,,,-36.77,4.214089887640456,2024-11-02,56022.19608367635,5895.416533333344,105932.18653333346,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
