Bet,Team,Total,ExactBet,Date,Market,Other,LineTaken,Edge,BetType,RichStake,Grade,Profit
394,Brooklyn ,True,Brooklyn Nets u209.5 L,2026-01-26,-192,192,-152,9.0,total,1493.8,L,-1493
394,Brooklyn ,True,Brooklyn Nets u208.5 L,2026-01-26,-122,-108,120,13.1,total,821.8,L,-821
395,Miami ,False,Miami Heat -14.5 L,2026-01-26,-108,-112,160,28.9,spread,616.0,L,-616
395,Miami ,False,Miami Heat -13.5 L,2026-01-26,-131,131,135,33.3,spread,1217.3,L,-1217
396,Miami ,True,Miami Heat u208.5 L,2026-01-26,162,-205,210,12.3,total,469.0,L,-469
396,Miami ,True,Miami Heat u210.5 L,2026-01-26,146,-146,205,24.0,total,480.9,L,-480
397,Ball ,False,Ball State ml L,2026-02-11,447,-447,510,11.5,moneyline,163.1,L,-163
398,Ball ,True,Ball state o163.5,2026-02-11,118,-118,118,0.0,total,385.0,L,-385
399,Brooklyn ,False,Brooklyn Nets -11.5 L,2026-02-11,165,-165,195,11.3,spread,1166.2,L,-1166
399,Brooklyn ,False,Brooklyn Nets -9.5 L,2026-02-11,102,-102,118,7.9,spread,1960.0,L,-1960
